Year,Country,Country Code,GDP/capita,Population,"Malaria cases/100,000 pop.","Under-5s (per 100,000)","All ages (per 100,000)","70+ years old (per 100,000)","50-69 years old (per 100,000)","15-49 years old (per 100,000)","5-14 years old (per 100,000)","Age-standardized (per 100,000)",Capital,Latitude,Longitude,Latitude Number,Longitude Number
2007,Ecuador,ECU,8879.636854,13849721.0,224.2045455,0.1,0.08,0.24,0.12,0.07,0.03,0.09,Quito,00.15S,78.35W,-0.15,-78.35
2007,Egypt,EGY,8838.524796,76941572.0,0.0,0.0,0.01,0.03,0.02,0.01,0.0,0.01,Cairo,30.01N,31.14E,30.01,31.14
2007,Spain,ESP,34329.647339999996,44604384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Madrid,40.25N,03.45W,40.25,-3.45
2007,Estonia,EST,27383.46956,1342873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tallinn,59.22N,24.48E,59.22,24.48
2007,Ethiopia,ETH,856.9948399,77718436.0,799.5374823,42.42,11.19,35.39,12.37,3.92,4.09,11.52,Addis Ababa,09.02N,38.42E,9.02,38.42
2007,Finland,FIN,42467.261,5290431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Helsinki,60.15N,25.03E,60.15,25.03
2007,France,FRA,37772.07657,61744596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Paris,48.50N,02.20E,48.5,2.2
2007,United Kingdom,GBR,38236.14064,60896101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,London,51.36N,00.05W,51.36,-0.05
2007,Georgia,GEO,6183.343492,4415956.0,6.196078431,0.0,0.02,0.05,0.02,0.01,0.0,0.01,T'bilisi,41.43N,44.50E,41.43,44.5
2007,Gambia,GMB,1518.2672949999999,1591357.0,17340.0,77.65,23.38,87.61,30.46,6.05,8.15,23.75,Banjul,13.28N,16.40W,13.28,-16.4
2007,Greece,GRC,32073.9604,11255717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Athens,37.58N,23.46E,37.58,23.46
2007,Guatemala,GTM,6713.146445,13358842.0,253.06504069999997,0.09,0.15,0.69,0.34,0.17,0.04,0.21,Guatemala,14.40N,90.22W,14.4,-90.22
2007,Guyana,GUY,5297.602571,750068.0,3773.333333,0.94,1.7,2.62,2.79,2.22,0.42,1.92,Georgetown,06.50N,58.12W,6.5,-58.12
2007,Honduras,HND,4002.2051659999997,7158819.0,146.69565219999998,0.43,0.33,1.36,0.53,0.29,0.2,0.41,Tegucigalpa,14.05N,87.14W,14.05,-87.14
2007,Croatia,HRV,21564.3782,4425995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zagreb,45.50N,15.58E,45.5,15.58
2007,Hungary,HUN,23343.06469,10042572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Budapest,47.29N,19.05E,47.29,19.05
2007,Indonesia,IDN,7450.602158,232461746.0,98.86477987,3.06,2.4,13.34,3.51,2.07,0.66,3.37,Jakarta,06.09S,106.49E,-6.09,106.49
